"Tax Yr",Cat,EE_Rate,EE_AboveUEL,EE_AboveUAP,ER_Rate,ER_AboveUAP,ER_AboveUST,ER_AboveAUST,ER_AboveUEL,"ER NIC Rebate","EE NIC Rebate",ER_RebateToST
2017,M,0.12,0.02,0,0,0,0.138,0,0.138,0,0,0
2017,Z,0.02,0.02,0,0,0,0.138,0,0.138,0,0,0
2018,A,0.12,0.02,0,0.138,0,0,0,0.138,0,0,0
2018,B,0.0585,0.02,0,0.138,0,0,0,0.138,0,0,0
2018,C,0,0,0,0.138,0,0,0,0.138,0,0,0
2018,H,0.12,0.02,0,0,0,0,0.138,0.138,0,0,0
2018,J,0.02,0.02,0,0.138,0,0,0,0.138,0,0,0
2018,M,0.12,0.02,0,0,0,0.138,0,0.138,0,0,0
2018,Z,0.02,0.02,0,0,0,0.138,0,0.138,0,0,0
2019,A,0.12,0.02,0,0.138,0,0,0,0.138,0,0,0
2019,B,0.0585,0.02,0,0.138,0,0,0,0.138,0,0,0
2019,C,0,0,0,0.138,0,0,0,0.138,0,0,0
2019,H,0.12,0.02,0,0,0,0,0.138,0.138,0,0,0
2019,J,0.02,0.02,0,0.138,0,0,0,0.138,0,0,0
2019,M,0.12,0.02,0,0,0,0.138,0,0.138,0,0,0
2019,Z,0.02,0.02,0,0,0,0.138,0,0.138,0,0,0
2020,A,0.12,0.02,0,0.138,0,0,0,0.138,0,0,0
2020,B,0.0585,0.02,0,0.138,0,0,0,0.138,0,0,0
2020,C,0,0,0,0.138,0,0,0,0.138,0,0,0
2020,H,0.12,0.02,0,0,0,0,0.138,0.138,0,0,0
2020,J,0.02,0.02,0,0.138,0,0,0,0.138,0,0,0
2020,M,0.12,0.02,0,0,0,0.138,0,0.138,0,0,0
2020,Z,0.02,0.02,0,0,0,0.138,0,0.138,0,0,0
